"Player","Team","MP","G.1","MP.1","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB"
"Shakira Austin","WAS",238,12,238,7.9,18.3,0.43,0.2,0.6,0.25,7.7,17.7,0.436,5.4,8.2,0.667,3.2
"Chennedy Carter","CHI",858,33,858,10,20.5,0.487,0.4,1.3,0.29,9.6,19.2,0.5,3.9,5.3,0.73,0.9
"Napheesa Collier","MIN",1181,34,1181,8.2,16.6,0.492,0.9,3,0.31,7.2,13.6,0.533,3.9,4.8,0.804,2.3
"Kahleah Copper","PHO",1197,37,1197,8.2,18.9,0.435,2.1,6.6,0.314,6.1,12.3,0.5,5,6.2,0.807,0.7
"Brittney Griner","PHO",861,30,861,9.2,15.8,0.579,0.4,0.8,0.5,8.8,15.1,0.583,3.6,4.7,0.777,2.3
"Natasha Howard","DAL",825,27,825,8.2,17.9,0.456,0.5,2.4,0.2,7.7,15.5,0.496,3.9,5.4,0.718,2.3
"Sabrina Ionescu","NYL",1221,38,1221,7,17.9,0.394,3.2,9.5,0.333,3.9,8.4,0.463,3.1,3.5,0.898,0.8
"Jewell Loyd","SEA",1246,37,1246,6.5,18,0.36,1.7,6.2,0.274,4.8,11.8,0.405,6.4,7.3,0.881,0.8
"Kelsey Mitchell","IND",1280,40,1280,7.9,16.9,0.468,3.1,7.6,0.402,4.9,9.3,0.523,2.6,3.2,0.832,0.8
"Arike Ogunbowale","DAL",1465,38,1465,6.9,17.9,0.383,2.8,8,0.346,4.1,10,0.412,4.3,4.7,0.921,0.7
"Breanna Stewart","NYL",1243,38,1243,7.7,16.7,0.458,1.3,4.5,0.295,6.3,12.2,0.519,5.8,6.9,0.845,1.8
"A'ja Wilson","LVA",1308,38,1308,10.6,20.4,0.518,0.5,1.7,0.317,10.1,18.8,0.536,6.4,7.6,0.844,2.2
